unit,family,target_type,target_frequency,producer_exit,scorer_exit,admissible,g0,g1,g2,g3,seconds
t2-EXAMPLE-ust-curve-1m,T2-F3,level,daily,0,0,True,pass,pass,pass,pass,4.171
t2-F1-ai-mom-2024,T2-F1,log_return,daily,0,0,True,pass,pass,pass,pass,4.262
t2-F1-aud-on-hold-2016,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.263
t2-F1-cad-boc-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.216
t2-F1-chf-highly-valued-2021,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.21
t2-F1-conflicting-texts-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.226
t2-F1-considerable-period-2003,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.128
t2-F1-conundrum-2005,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.444
t2-F1-cpi-glidepath-2023,T2-F1,level,monthly,0,0,True,pass,pass,pass,pass,4.709
t2-F1-dkk-peg-2019,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.566
t2-F1-eur-range-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.677
t2-F1-fed-put-2019,T2-F1,log_return,daily,0,0,True,pass,pass,pass,pass,4.784
t2-F1-greater-confidence-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.753
t2-F1-hawkish-cut-2024,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.824
t2-F1-jpy-ycc-flex-2018,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.349
t2-F1-liftoff-telegraph-2015,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.501
t2-F1-measured-pace-2004,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.208
t2-F1-normalization-2017,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.142
t2-F1-patient-dropped-2015,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.294
t2-F1-pause-2006,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.302
t2-F1-qe3-end-2014,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.352
t2-F1-sahm-watch-2024,T2-F1,level,monthly,0,0,True,pass,pass,pass,pass,4.28
t2-F1-third-cut-2019,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.278
t2-F1-ust-positioning-2018,T2-F1,level,daily,0,0,True,pass,pass,pass,pass,4.25
t2-F2-abenomics-2012,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.246
t2-F2-act-as-appropriate-2019,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.281
t2-F2-aud-taper-2013,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.234
t2-F2-boj-thin-signal-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.158
t2-F2-cnh-stress-2015,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.534
t2-F2-cnh-tradewar-2018,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.846
t2-F2-considerable-removal-2004,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.666
t2-F2-credit-crunch-2007,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.799
t2-F2-cut-sizing-2024,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.88
t2-F2-draghi-precommit-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.817
t2-F2-ecb-qe-telegraph-2014,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.705
t2-F2-eur-parity-2022,T2-F2,level,daily,0,0,True,pass,pass,pass,pass,4.347
